Martian Runtime - v4.0.13
Serving UI at http://c0603a-s10.ufhpc:34941?auth=gpcp3Nb9T7-K7Pt_js3-p1M9hdYTHnP8XQDl4lkl-ts

Running preflight checks (please wait)...
2025-08-21 23:49:18 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:49:18 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS.fork0.chnk0.main
2025-08-21 23:49:19 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR.PARSE_TARGET_FEATURES
2025-08-21 23:49:19 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR.PARSE_TARGET_FEATURES.fork0.chnk0.main
2025-08-21 23:49:19 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.CREATE_MULTI_GRAPH
2025-08-21 23:49:19 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.CREATE_MULTI_GRAPH.fork0.chnk0.main
2025-08-21 23:49:19 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY
2025-08-21 23:49:19 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY.fork0.chnk0.main
2025-08-21 23:49:19 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork0
2025-08-21 23:49:19 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork0.chnk0.main
2025-08-21 23:49:19 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork1
2025-08-21 23:49:19 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_CHEMISTRY_DETECTOR.VDJ_CHEMISTRY_DETECTOR.CHECK_BARCODES_COMPATIBILITY_VDJ.fork1.chnk0.main
2025-08-21 23:49:31 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR.MULTI_SETUP_CHUNKS
2025-08-21 23:49:31 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.CREATE_MULTI_GRAPH
2025-08-21 23:49:31 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_WEBSUMMARY_BUILDER.BUILD_MULTI_GRAPH_VIEW
2025-08-21 23:49:31 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_WEBSUMMARY_BUILDER.BUILD_MULTI_GRAPH_VIEW.fork0.chnk0.main
2025-08-21 23:49:33 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR.PARSE_TARGET_FEATURES
2025-08-21 23:49:33 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.MAKE_VDJ_FILTER_SWITCH
2025-08-21 23:49:33 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.MAKE_VDJ_FILTER_SWITCH.fork0.chnk0.main
2025-08-21 23:49:33 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD
2025-08-21 23:49:33 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.COUNT_GEM_WELL_PROCESSOR._BASIC_SC_RNA_COUNTER._MATRIX_COMPUTER.MAKE_SHARD.fork0.split
2025-08-21 23:49:33 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_WEBSUMMARY_BUILDER.BUILD_MULTI_GRAPH_VIEW
2025-08-21 23:49:34 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.MAKE_VDJ_FILTER_SWITCH
2025-08-21 23:49:34 [runtime] (chunks_complete) ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD
2025-08-21 23:49:34 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD.fork0.join
2025-08-21 23:49:35 [runtime] (join_complete)   ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.MAKE_SHARD
2025-08-21 23:49:35 [runtime] (ready)           ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION
2025-08-21 23:49:35 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION.fork0.split
2025-08-21 23:49:36 [runtime] (split_complete)  ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION
2025-08-21 23:49:36 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION.fork0.chnk00.main
2025-08-21 23:49:36 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION.fork0.chnk01.main
2025-08-21 23:49:36 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION.fork0.chnk02.main
2025-08-21 23:49:36 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION.fork0.chnk03.main
2025-08-21 23:49:36 [runtime] (run:local)       ID.YT_hashing.SC_MULTI_CS.SC_MULTI_CORE.MULTI_GEM_WELL_PROCESSOR.VDJ_T_GEM_WELL_PROCESSOR.SC_VDJ_CONTIG_ASSEMBLER.BARCODE_CORRECTION.fork0.chnk04.main
